id,slug,brand_name,description,repo_urls,github_owner_repo
008a37be-b7d3-4b77-9251-b1e524fd8d8c,experiment-launcher,Experiment Launcher,"* For software developers wanting to talk to a Swagger based webservice to generate and launch a Jupyter notebook based on parameters and a template * When the experiment launcher is combined with a frontend application like, the TerriaJS the end user is able click somewhere in the frontend and end up in a Jupyter notebook environment * Can be extended to have end points for different notebook types",https://github.com/eWaterCycle/experiment-launcher,eWaterCycle/experiment-launcher
01168f4c-0fb6-4c49-a876-db1042cbe728,fhir-to-capacity,FHIR to CAPACITY,"* FHIR-to-CAPACITY provides an automated way for hospitals to upload electronic health records on from COVID-19 patients to the centralized CAPACITY registry * FHIR-to-CAPACITY queries patient data from a specified FHIR endpoint and converts it into records compliant with the CAPACITY codebook * Much of the data for CAPACITY is still entered by hand. FHIR-to-CAPACITY provides a piece of the puzzle for hospitals to automate the process  The FAIR data for CAPACITY project aims to automate the process of uploading data on COVID-19 patients to the central [CAPACITY registry](https://capacity-covid.eu/). However, the data models for electronic health records vary a lot per hospital.  In the FAIR data for CAPACITY project we aim to generalize the process as much as possible by requiring that the hospital data should be converted to the FHIR format first. After this conversion, which has to be customized per hospital, the final conversion can be picked up by FHIR to CAPACITY. This software will convert the FHIR data into records that are compliant with the [CAPACITY codebook](http://capacity-covid.eu/wp-content/uploads/CAPACITY-REDCap-2.pdf) and will upload it to the REDCap registry that has been provided by the user.",https://github.com/FAIR-data-for-CAPACITY/FHIR-to-CAPACITY,FAIR-data-for-CAPACITY/FHIR-to-CAPACITY
01422160-1c7f-4bc8-a8b6-31cb179c2bf2,rwikipathways,rWikiPathways,"R Client library for the WikiPathways API (https://webservice.wikipathways.org/) (license: MIT).  WikiPathays is described in the following papers: * 2016 NAR paper by [Kutmon et al.](https://doi.org/10.1093/nar/gkv1024) * 2018 NAR paper by [Slenter et al.](https://doi.or/10.1093/nar/gkx1064) * 2021 NAR paper by [Martens et al.](https://doi.org/10.1093/nar/gkaa1024) * 2024 NAR paper by [Agrawal et al.](https://doi.org/10.1093/nar/gkad960)  If you like this package, or want to make it easier to work with Xrefs, then you may also like these R packages:  * [BridgeDbR](https://github.com/BiGCAT-UM/bridgedb-r) * [PathVisioRPC](http://projects.bigcat.unimaas.nl/pathvisiorpc/) * [RCy3](https://github.com/cytoscape/RCy3)  ## Getting Started * [Documentation site](https://r.wikipathways.org) * [Overview vignette](articles/Overview.html)  ## How to install **_Official bioconductor releases_ (recommended)** ``` if (!requireNamespace(""BiocManager"", quietly=TRUE))     install.packages(""BiocManager"") BiocManager::install(""rWikiPathways"") ``` *Note: Be sure to use the [latest Bioconductor](https://www.bioconductor.org/install/) and recommended R version*   **_Unstable development code from this repo_ (at your own risk)** ``` install.packages(""devtools"") library(devtools) install_github('wikipathways/rWikiPathways', build_vignettes=TRUE) library(rWikiPathways) ```",https://codeberg.org/egonw/rWikiPathways,
018c7b14-2802-4acb-9426-454b0ddef06a,spex-x-ray-spectral-fitting-package,SPEX X-ray spectral fitting package,"SPEX is a software package for fitting astrophysical X-ray spectra. It has been developed since the 1970s at SRON Netherlands Institute for Space Research. SPEX is an interactive command-line program for the computation of emergent spectra of optically thin plasmas such as stellar coronal loop structures, supernova remnants (also including transient ionization effects), photo-ionized plasmas, and optically thick plasmas. These model spectra can be fitted to measured X-ray spectra from various X-ray observatories, like XMM-Newton and Chandra. SPEX has been optimized for high-resolution X-ray spectroscopy, which makes it especially suitable for analyzing grating and micro-calorimeter spectra.",,
01a3e457-1d77-432f-a8e5-55fb7985b78f,4tu-dataset-nondimensionalisationqmom,Dataset-NonDimensionalisationQMOM,"Wet granulation is a multiphase process utilised to produce aggregate particles with defined properties from very fine powders. Simulating this process on the microscale is challenging because of the large number of particles involved, which differ widely in both size and material properties. Macroscale methods, which track only the particle bulk properties, are efficient but do not resolve disperse particle properties such as the particle size distribution (PSD), which is key information for downstream processing. These deficiencies are addressed by mesoscale methods like population balance (PB) models, which track distributed properties such as the particle size by adding them as internal variables to the macroscale (CFD) model. However, most mesoscale methods are either inaccurate (method of moments when cutting off moments) or computationally expensive (Monte Carlo, class methods). Recently a new closure for the method of moments, the quadrature method of moments (QMOM), was introduced to allow accurate moment tracking of a PSD with low computational effort. One disadvantage of this method is that it can suffer from instabilities. These, however, can be overcome by non-dimensionalization. In the study we show our insights gained by non-dimensionalizing the QMOM equations for wet granulation processes, which model the PSD via growth, aggregation and breakage kernels. Also relevant numerical and theoretical issues as well as limitations are discussed.  The software in this dataset can be used to reproduce all figures and verify the integrity of the title paper. The software consists of a fully working MATLAB (Version R2019b) script for a non-dimensional and dimensional quadrature method of moments and all the additional methods that are needed to run the quadrature method of moments (reading in data, adaptive Wheeler algorithm, etc.). Further, a Python script (Version 3.7) for the Buckingham theorem using BuckinghamPy is available.",https://data.4tu.nl/v3/datasets/de2d879d-af3f-47cc-a6ac-49543ad10746.git,
01a7b4ab-9740-4714-acd3-1da9b8b2b2cc,bridgedb-webservice,BridgeDb Webservice,"The BridgeDb Webservice is a REST API for identifier mapping, based on the [BridgeDb Java](https://research-software-directory.org/software/bridgedb-java) library.  For example, the following call can be made to get identifier mappings for NCBI Gene 1234:  ```shell curl https://webservice.bridgedb.org/Human/xrefs/L/1234 ```  To get a list of supported databases, use:  ```shell curl https://webservice.bridgedb.org/Human/sourceDataSources ```  More information on [this OpenAPI documentation page](https://webservice.bridgedb.org/).",https://github.com/bridgedb/BridgeDbWebservice,bridgedb/BridgeDbWebservice
01ad58da-d725-4d31-9d28-e1c0365052ad,yoda,Yoda,"Yoda is a research data management solution developed by Utrecht University and used by multiple institutes around the world. It enables researchers and their partners to securely deposit, share, publish and preserve large amounts of research data during all stages of a research project.",https://github.com/UtrechtUniversity/yoda,UtrechtUniversity/yoda
021b22ed-d51e-4d27-852a-5b06635e8cfc,dtscalibration,dtscalibration,"'dtscalibration' is a Python package to load Distributed Temperature Sensing files, perform a calibration, and plot the result. A detailed description of the calibration procedure can be found at https://doi.org/10.3390/s20082235   ### Package features  * Advanced calibration routine    * Both single- and double-ended setups    * Confidence intervals of calibrated temperature    * Time integration of calibration parameters    * Weighted least-squares calibration    * Fixing parameters to a previously determined value]    * (Asymmetric) step loss correction    * Matching temperature sections * Dynamic reference section definition * Tools for merging and aligning double-ended setups * Data formats of most manufacturers are supported  ### Devices supported * Silixa Ltd.: **Ultima** & **XT-DTS** .xml files *(up to version 8.1)* * Sensornet Ltd.: **Oryx**, **Halo** & **Sentinel** .ddf files * AP Sensing: **CP320** .xml files *(single ended only)* * SensorTran: **SensorTran 5100** .dat binary files *(single ended only)*",https://github.com/dtscalibration/python-dts-calibration,dtscalibration/python-dts-calibration
02523914-8a05-4f28-b2e6-d967f367a553,4tu-diverse-projection-ensembles,diverse-projection-ensembles,"This is the official code repository of projection-ensemble DQN, accompanying the paper ""Diverse projection ensembles for distributional reinforcement learning"" (ICLR 2024).",https://data.4tu.nl/v3/datasets/26e6f861-05e8-4446-b58b-4c045bf8b60c.git,
0287179f-6362-4a66-8c9a-812882fa3b0b,4tu-matlab-scripts-and-python-notebook-to-analyze-the-experiment-yeast-population-growth-in-different-galactose-concentrations,Matlab scripts and python notebook to analyze the experiment: Yeast population growth in different galactose concentrations,These dataset provides some mat files and the scripts used to analyze the experiment under doi: https://doi.org/10.4121/12961922.v1. These files are used to generate Fig3A from the paper: https://doi.org/10.1101/2020.09.09.290510,,
02962dbf-4c06-4b15-8b7e-241e3331e252,rcoins,rcoins,"<!-- badges: start --> [![R-CMD-check](https://github.com/CityRiverSpaces/rcoins/actions/workflows/R-CMD-check.yaml/badge.svg)](https://github.com/CityRiverSpaces/rcoins/actions/workflows/R-CMD-check.yaml) <!-- badges: end -->  Identify continuous lines in a network using an approach based on the Continuity in Steet Network (COINS) method[^1].  [^1]: [Tripathy, P., Rao, P., Balakrishnan, K., & Malladi, T. (2021). An open-source tool to extract natural continuity and hierarchy of urban street networks. Environment and Planning B: Urban Analytics and City Science, 48(8), 2188-2205.][coins]  [coins]: http://dx.doi.org/10.1177/2399808320967680  ## Example  Given the street network of the city of Bucharest (data source: [OpenStreetMap][osm])  ``` r library(rcoins) streets <- bucharest$streets ```  ![](https://raw.githubusercontent.com/CityRiverSpaces/rcoins/main/man/figures/streets.png)  Determine continuous lines in the spatial network as:  ``` r continuous_streets <- stroke(streets) ```  ![](https://raw.githubusercontent.com/CityRiverSpaces/rcoins/main/man/figures/continuous-streets.png)  [osm]: https://www.openstreetmap.org/",https://github.com/CityRiverSpaces/rcoins,CityRiverSpaces/rcoins
033da964-1a8d-4550-bdda-c2f12d5e2b65,lxcat,LXCat,"The *Plasma Data Exchange Project* is a community-based project which was initiated as a result of a public discussion held at the 2010 Gaseous Electronics Conference (GEC), a leading international meeting for the Low-Temperature Plasma community. This project aims to address, at least in part, the well-recognized needs for the community to organize the means of collecting, evaluating and sharing data both for modeling and for interpretation of experiments.  At the heart of the Plasma Data Exchange Project is LXCat (pronounced ""elecscat""), an open-access website for collecting, displaying, and downloading electron and ion scattering cross sections, swarm parameters (mobility, diffusion coefficient, etc.), reaction rates, energy distribution functions, etc. and other data required for modeling low temperature plasmas. The available data bases have been contributed by members of the community and are indicated by the contributor's chosen title.",https://github.com/LXCat-project/LXCat,LXCat-project/LXCat
0352bda7-9fbc-493f-a66c-053dcd8f54d1,ree-hdsc,REE-HDSC,Assistance in hand-written text recognition of Dutch civil registry records with the Transkribus software package including entity recognition and evaluation of the results.,https://github.com/ree-hdsc/ree-hdsc,ree-hdsc/ree-hdsc
03551f8f-c995-4aeb-9ce5-e8d4c4b9d85e,scifeon-lims-eln-and-workflow-automation,"Scifeon Lims, ELN and Workflow Automation","Scifeon is a cloud-based LIMS and ELN platform designed for research labs in biotech, pharma, and CDMO environments. It helps scientific teams digitize their processes, reduce manual documentation, and manage lab data in a structured, compliant, and scalable way.  Built with researchers in mind, Scifeon supports everything from sample tracking and experiment documentation to QA workflows and digital approvals. Scientists can build and execute workflows step-by-step using a visual interface, ensuring repeatability, traceability, and easy onboarding for new team members.  Scifeon enables labs to move away from paper, Excel, and scattered documentation platforms like Confluence. The system supports structured and unstructured data, integrates with lab instruments and ERP systems, and provides full compliance with GMP, GxP, and FDA 21 CFR Part 11 standards. Audit trails, electronic signatures, and permission-based access control are built-in.  One of Scifeon’s key advantages is its modularity: labs can start with a single workflow or department and expand over time. The platform supports rapid implementation using SAPPA (Structured Approach for Process-specific Pilots Adoption), allowing teams to go live with meaningful digitalization in just 30 to 45 days.  Used by industry leaders like AGC Biologics, Scifeon delivers measurable results—reducing coordination effort, improving data integrity, and supporting innovation through better lab oversight. Whether you’re in upstream research, downstream QC, or tech transfer, Scifeon helps your lab work smarter, faster, and with greater confidence.  Scifeon is more than just a digital lab tool: it's a flexible, user-driven informatics platform that adapts to how real research teams work. Whether you’re running fermentation experiments, managing analytical workflows, or documenting assay development, Scifeon provides a structured digital environment that makes data easier to capture, review, and reuse.  The platform supports full experiment lifecycle management: from planning and protocol execution to result validation and reporting. Through its ELN module, scientists can create reusable templates, collaborate in real-time, and link results directly to samples and metadata. The LIMS component ensures that materials, samples, and test results are fully traceable across projects, batches, and teams.  Scifeon also supports digital inventory management, compliance documentation, instrument integrations, and custom dashboards for real-time data insights. The system is hosted in secure EU cloud environments and can be validated for regulated use.  It’s designed to serve both R&D and QA/QC use cases with equal efficiency, helping teams standardize processes without sacrificing flexibility. Whether your lab is scaling up biologics production or conducting early-phase discovery, Scifeon is built to grow with you, empowering science through smarter software.",,
0357d4cc-9e1f-4e8f-b12c-bd1192ef48f1,4tu-source-documentation-tests-mace-automated-assessment-of-stereochemistry-of-transition-metal-complexes-and-its-applications-in-computational-catalysis,"Source, documentation, tests: MACE: Automated Assessment of Stereochemistry of Transition Metal Complexes and its Applications in Computational Catalysis","MACE is an open source toolkit for the automated screening and discovery of metal complexes.&nbsp;The main features of the MACE package are to discover all possible configurations for square-planar and octahedral metal complexes, and generate atomic 3D coordinates suitable for quantum-chemical computations. This dataset contains source code, documentation, CLI examples, and test cases for MACE workflow reported in&nbsp; ""MACE: Automated Assessment of Stereochemistry of Transition Metal Complexes and its Applications in Computational Catalysis"", J. Chem. Theory Comput.",https://data.4tu.nl/v3/datasets/b4e720b9-03ec-4227-8a31-88883ab80d74.git,
