repo,week_unix,commits,commit_source,default_branch
3D-e-Chem/3D-e-Chem-VM,1452384000,22,git,master
3D-e-Chem/3D-e-Chem-VM,1452988800,12,git,master
3D-e-Chem/3D-e-Chem-VM,1453593600,2,git,master
3D-e-Chem/3D-e-Chem-VM,1454198400,5,git,master
3D-e-Chem/3D-e-Chem-VM,1454803200,11,git,master
3D-e-Chem/3D-e-Chem-VM,1456012800,5,git,master
3D-e-Chem/3D-e-Chem-VM,1456617600,2,git,master
3D-e-Chem/3D-e-Chem-VM,1458432000,2,git,master
3D-e-Chem/3D-e-Chem-VM,1460246400,4,git,master
3D-e-Chem/3D-e-Chem-VM,1461456000,5,git,master
3D-e-Chem/3D-e-Chem-VM,1462060800,5,git,master
3D-e-Chem/3D-e-Chem-VM,1462665600,3,git,master
3D-e-Chem/3D-e-Chem-VM,1463270400,1,git,master
3D-e-Chem/3D-e-Chem-VM,1463875200,13,git,master
3D-e-Chem/3D-e-Chem-VM,1464480000,2,git,master
3D-e-Chem/3D-e-Chem-VM,1465084800,9,git,master
3D-e-Chem/3D-e-Chem-VM,1467504000,1,git,master
3D-e-Chem/3D-e-Chem-VM,1468108800,2,git,master
3D-e-Chem/3D-e-Chem-VM,1468713600,5,git,master
3D-e-Chem/3D-e-Chem-VM,1469923200,2,git,master
3D-e-Chem/3D-e-Chem-VM,1471132800,10,git,master
3D-e-Chem/3D-e-Chem-VM,1472342400,3,git,master
3D-e-Chem/3D-e-Chem-VM,1472947200,1,git,master
3D-e-Chem/3D-e-Chem-VM,1479600000,1,git,master
3D-e-Chem/3D-e-Chem-VM,1485043200,10,git,master
3D-e-Chem/3D-e-Chem-VM,1488067200,1,git,master
3D-e-Chem/3D-e-Chem-VM,1488672000,5,git,master
3D-e-Chem/3D-e-Chem-VM,1491696000,3,git,master
3D-e-Chem/3D-e-Chem-VM,1492300800,1,git,master
3D-e-Chem/3D-e-Chem-VM,1510444800,2,git,master
3D-e-Chem/3D-e-Chem-VM,1512259200,3,git,master
3D-e-Chem/3D-e-Chem-VM,1517702400,4,git,master
3D-e-Chem/3D-e-Chem-VM,1519516800,2,git,master
3D-e-Chem/3D-e-Chem-VM,1521331200,1,git,master
3D-e-Chem/3D-e-Chem-VM,1537660800,2,git,master
3D-e-Chem/knime-gpcrdb,1452384000,2,git,master
3D-e-Chem/knime-gpcrdb,1452988800,24,git,master
3D-e-Chem/knime-gpcrdb,1453593600,6,git,master
3D-e-Chem/knime-gpcrdb,1458432000,7,git,master
3D-e-Chem/knime-gpcrdb,1459036800,10,git,master
3D-e-Chem/knime-gpcrdb,1460851200,8,git,master
3D-e-Chem/knime-gpcrdb,1462665600,4,git,master
3D-e-Chem/knime-gpcrdb,1463270400,3,git,master
3D-e-Chem/knime-gpcrdb,1463875200,1,git,master
3D-e-Chem/knime-gpcrdb,1465084800,3,git,master
3D-e-Chem/knime-gpcrdb,1465689600,1,git,master
3D-e-Chem/knime-gpcrdb,1468713600,5,git,master
3D-e-Chem/knime-gpcrdb,1473552000,4,git,master
3D-e-Chem/knime-gpcrdb,1474156800,3,git,master
3D-e-Chem/knime-gpcrdb,1474761600,7,git,master
3D-e-Chem/knime-gpcrdb,1475366400,1,git,master
3D-e-Chem/knime-gpcrdb,1476576000,6,git,master
3D-e-Chem/knime-gpcrdb,1483833600,19,git,master
3D-e-Chem/knime-gpcrdb,1485043200,2,git,master
3D-e-Chem/knime-gpcrdb,1488067200,4,git,master
3D-e-Chem/knime-gpcrdb,1515283200,5,git,master
3D-e-Chem/knime-gpcrdb,1519516800,1,git,master
3D-e-Chem/knime-gpcrdb,1521331200,1,git,master
3D-e-Chem/knime-gpcrdb,1522540800,3,git,master
3D-e-Chem/knime-gpcrdb,1561248000,5,git,master
3D-e-Chem/knime-gpcrdb,1586044800,5,git,master
3D-e-Chem/knime-gpcrdb,1700352000,6,git,master
3D-e-Chem/knime-klifs,1462665600,9,git,master
3D-e-Chem/knime-klifs,1463270400,4,git,master
3D-e-Chem/knime-klifs,1463875200,1,git,master
3D-e-Chem/knime-klifs,1465084800,10,git,master
3D-e-Chem/knime-klifs,1466899200,1,git,master
3D-e-Chem/knime-klifs,1468713600,1,git,master
3D-e-Chem/knime-klifs,1469318400,1,git,master
3D-e-Chem/knime-klifs,1475366400,8,git,master
3D-e-Chem/knime-klifs,1475971200,1,git,master
3D-e-Chem/knime-klifs,1476576000,3,git,master
3D-e-Chem/knime-klifs,1482019200,9,git,master
3D-e-Chem/knime-klifs,1485043200,17,git,master
3D-e-Chem/knime-klifs,1485648000,1,git,master
3D-e-Chem/knime-klifs,1488672000,3,git,master
3D-e-Chem/knime-klifs,1519516800,1,git,master
3D-e-Chem/knime-klifs,1521331200,1,git,master
3D-e-Chem/knime-klifs,1561248000,6,git,master
3D-e-Chem/knime-klifs,1561852800,2,git,master
3D-e-Chem/knime-klifs,1700352000,14,git,master
3D-e-Chem/knime-kripodb,1454803200,4,git,master
3D-e-Chem/knime-kripodb,1460851200,2,git,master
3D-e-Chem/knime-kripodb,1463875200,1,git,master
3D-e-Chem/knime-kripodb,1465084800,3,git,master
3D-e-Chem/knime-kripodb,1466294400,3,git,master
3D-e-Chem/knime-kripodb,1466899200,8,git,master
3D-e-Chem/knime-kripodb,1467504000,12,git,master
3D-e-Chem/knime-kripodb,1468108800,12,git,master
3D-e-Chem/knime-kripodb,1468713600,2,git,master
3D-e-Chem/knime-kripodb,1479600000,1,git,master
3D-e-Chem/knime-kripodb,1484438400,9,git,master
3D-e-Chem/knime-kripodb,1485043200,3,git,master
3D-e-Chem/knime-kripodb,1485648000,2,git,master
3D-e-Chem/knime-kripodb,1487462400,4,git,master
3D-e-Chem/knime-kripodb,1488067200,20,git,master
3D-e-Chem/knime-kripodb,1488672000,11,git,master
3D-e-Chem/knime-kripodb,1494720000,5,git,master
3D-e-Chem/knime-kripodb,1495929600,5,git,master
3D-e-Chem/knime-kripodb,1496534400,3,git,master
3D-e-Chem/knime-kripodb,1498348800,6,git,master
3D-e-Chem/knime-kripodb,1498953600,3,git,master
3D-e-Chem/knime-kripodb,1500163200,3,git,master
3D-e-Chem/knime-kripodb,1517097600,10,git,master
3D-e-Chem/knime-kripodb,1517702400,14,git,master
3D-e-Chem/knime-kripodb,1522540800,2,git,master
3D-e-Chem/knime-kripodb,1561248000,2,git,master
3D-e-Chem/knime-kripodb,1561852800,6,git,master
3D-e-Chem/knime-kripodb,1569110400,10,git,master
3D-e-Chem/knime-kripodb,1612656000,9,git,master
3D-e-Chem/knime-kripodb,1700352000,5,git,master
3D-e-Chem/knime-molviewer,1470528000,1,git,master
3D-e-Chem/knime-molviewer,1477180800,25,git,master
3D-e-Chem/knime-molviewer,1477785600,2,git,master
3D-e-Chem/knime-molviewer,1478390400,10,git,master
3D-e-Chem/knime-molviewer,1478995200,13,git,master
3D-e-Chem/knime-molviewer,1479600000,6,git,master
3D-e-Chem/knime-molviewer,1480204800,3,git,master
3D-e-Chem/knime-molviewer,1485043200,8,git,master
3D-e-Chem/knime-molviewer,1487462400,2,git,master
3D-e-Chem/knime-molviewer,1488067200,3,git,master
3D-e-Chem/knime-molviewer,1497139200,1,git,master
3D-e-Chem/knime-molviewer,1497744000,20,git,master
3D-e-Chem/knime-molviewer,1498348800,1,git,master
3D-e-Chem/knime-molviewer,1498953600,4,git,master
3D-e-Chem/knime-molviewer,1499558400,1,git,master
3D-e-Chem/knime-molviewer,1500163200,1,git,master
3D-e-Chem/knime-molviewer,1500768000,1,git,master
3D-e-Chem/knime-molviewer,1504396800,6,git,master
3D-e-Chem/knime-molviewer,1506816000,5,git,master
3D-e-Chem/knime-molviewer,1512864000,4,git,master
3D-e-Chem/knime-molviewer,1519516800,1,git,master
3D-e-Chem/knime-molviewer,1521331200,2,git,master
3D-e-Chem/knime-molviewer,1561248000,12,git,master
3D-e-Chem/knime-molviewer,1568505600,2,git,master
3D-e-Chem/knime-molviewer,1569110400,25,git,master
3D-e-Chem/knime-molviewer,1572739200,3,git,master
3D-e-Chem/knime-molviewer,1700352000,5,git,master
3D-e-Chem/knime-pharmacophore,1497744000,11,git,master
