fold,k,silhouette,calinski_harabasz,n_components,whiten
1,2,0.3887481798997453,55827.846024146544,3,False
2,2,0.3991069272125428,57386.388341046906,3,False
3,2,0.3957628007749768,56305.791877937925,3,False
4,2,0.38910059161858307,55740.01787548965,3,False
5,2,0.38804098559464156,55552.65546864512,3,False
1,3,0.4113582144593054,57505.58717271995,3,False
2,3,0.4155877885579526,57940.71279038868,3,False
3,3,0.41854757627566924,58096.89349217819,3,False
4,3,0.4147737749649668,56284.04235913639,3,False
5,3,0.40694761691248765,56884.6193525838,3,False
1,4,0.4194670005783925,58831.69729682735,3,False
2,4,0.4160166281148135,57326.92923892191,3,False
3,4,0.428225218686554,59588.10491169863,3,False
4,4,0.4246944293194993,57476.468295608596,3,False
5,4,0.41769704470693453,56015.72909858837,3,False
1,5,0.43716636756783384,60637.591254724604,3,False
2,5,0.42061394679845293,60343.98609788597,3,False
3,5,0.42596242099004855,61658.136830501004,3,False
4,5,0.41681694121780766,59078.835862463464,3,False
5,5,0.4198114904067233,58574.263291328316,3,False
1,6,0.46025485940629446,65627.5370094524,3,False
2,6,0.4560147514740627,64655.00400804742,3,False
3,6,0.46568840713945747,67229.59133689423,3,False
4,6,0.47788280240702097,62096.3455321881,3,False
5,6,0.46241478734854685,64079.91460465528,3,False
